"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"54",0.04952,0.03064,0.02252,0.14966,0.04733,0.16233,0.07198,0.02502,0.05467,0.03139,0.26502,0.0197,0.02298,0.02314,0.02409
"55",0.03286,0.04938,0.06393,0.05027,0.09663,0.20759,0.03154,0.06235,0.16866,0.07192,0.07495,0.0197,0.02298,0.02314,0.02409
"56",0.018,0.05369,0.0508,0.07187,0.1346,0.01924,0.05574,0.1087,0.04873,0.07519,0.27352,0.0197,0.02298,0.02314,0.02409
"57",0.03291,0.05432,0.05203,0.05437,0.04134,0.02008,0.01878,0.09621,0.3649,0.07859,0.09655,0.0197,0.02298,0.02314,0.02409
"58",0.03486,0.041,0.02575,0.15769,0.15989,0.10166,0.0258,0.03065,0.26428,0.04823,0.02027,0.0197,0.02298,0.02314,0.02409
"59",0.03792,0.02239,0.04815,0.08062,0.0669,0.21368,0.05888,0.02157,0.02699,0.03594,0.29704,0.0197,0.02298,0.02314,0.02409
"60",0.02052,0.05161,0.05332,0.04015,0.0297,0.11579,0.08833,0.01829,0.40115,0.04556,0.04568,0.0197,0.02298,0.02314,0.02409
"61",0.03881,0.04655,0.01832,0.07586,0.04698,0.21396,0.03862,0.17984,0.09681,0.05541,0.09892,0.0197,0.02298,0.02314,0.02409
"62",0.02676,0.0217,0.01944,0.03067,0.02675,0.02359,0.0258,0.3727,0.1114,0.11314,0.13813,0.0197,0.02298,0.02314,0.02409
"63",0.01668,0.05795,0.02732,0.1782,0.0502,0.08827,0.07088,0.11351,0.02733,0.03367,0.24608,0.0197,0.02298,0.02314,0.02409
"64",0.02729,0.02224,0.04579,0.08893,0.02534,0.03139,0.1563,0.02963,0.17799,0.07584,0.22935,0.0197,0.02298,0.02314,0.02409
"65",0.05248,0.02724,0.04246,0.10957,0.02077,0.02536,0.03096,0.10148,0.15444,0.08247,0.26287,0.0197,0.02298,0.02314,0.02409
"66",0.02944,0.03298,0.04144,0.03251,0.03633,0.21095,0.06213,0.11547,0.20495,0.08113,0.06276,0.0197,0.02298,0.02314,0.02409
"67",0.04365,0.05467,0.05401,0.07252,0.14493,0.09273,0.06586,0.049,0.08406,0.0408,0.20784,0.0197,0.02298,0.02314,0.02409
"68",0.04162,0.05298,0.04371,0.02132,0.03546,0.15697,0.16118,0.01715,0.07004,0.02633,0.28332,0.0197,0.02298,0.02314,0.02409
"69",0.03957,0.02288,0.06898,0.01668,0.15622,0.06668,0.11544,0.0438,0.04065,0.30666,0.03251,0.0197,0.02298,0.02314,0.02409
