"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"56",0.02634,0.03945,0.05742,0.03196,0.22473,0.10176,0.04875,0.0323,0.12138,0.09432,0.103,0.02798,0.02812,0.0302,0.03229
"57",0.04594,0.08731,0.09792,0.09336,0.09357,0.06322,0.05521,0.03566,0.19079,0.05757,0.06086,0.02798,0.02812,0.0302,0.03229
"58",0.12384,0.05634,0.05068,0.13814,0.1433,0.07366,0.06205,0.07983,0.02912,0.04578,0.07868,0.02798,0.02812,0.0302,0.03229
"59",0.0285,0.10006,0.10995,0.07157,0.14185,0.02581,0.07108,0.12014,0.06407,0.11348,0.0349,0.02798,0.02812,0.0302,0.03229
"60",0.03018,0.03846,0.03649,0.10845,0.11254,0.13106,0.08501,0.10267,0.13076,0.07106,0.03475,0.02798,0.02812,0.0302,0.03229
"61",0.08498,0.04454,0.05086,0.03883,0.0862,0.10588,0.09838,0.08944,0.11908,0.06205,0.10116,0.02798,0.02812,0.0302,0.03229
"62",0.11252,0.07219,0.06326,0.06904,0.05744,0.0361,0.21328,0.0889,0.08599,0.0423,0.04036,0.02798,0.02812,0.0302,0.03229
"63",0.03435,0.12553,0.12038,0.04461,0.15953,0.05356,0.05189,0.02816,0.08242,0.1349,0.04607,0.02798,0.02812,0.0302,0.03229
"64",0.05829,0.04968,0.08337,0.02967,0.05767,0.09832,0.08462,0.21112,0.08452,0.05341,0.07073,0.02798,0.02812,0.0302,0.03229
"65",0.03615,0.04654,0.09706,0.12133,0.02994,0.13082,0.16008,0.12427,0.02858,0.03277,0.07388,0.02798,0.02812,0.0302,0.03229
"66",0.05474,0.06099,0.05791,0.12797,0.05189,0.24299,0.02823,0.07697,0.04608,0.10132,0.0323,0.02798,0.02812,0.0302,0.03229
"67",0.08067,0.02861,0.03971,0.04036,0.05643,0.13137,0.05338,0.06876,0.0771,0.12356,0.18146,0.02798,0.02812,0.0302,0.03229
"68",0.05813,0.06958,0.05418,0.08758,0.06345,0.20997,0.0733,0.05745,0.09612,0.08314,0.02851,0.02798,0.02812,0.0302,0.03229
"69",0.04146,0.0648,0.02543,0.15085,0.08377,0.06173,0.12148,0.06547,0.11884,0.10997,0.03761,0.02798,0.02812,0.0302,0.03229
"70",0.03533,0.05808,0.16739,0.10239,0.08099,0.04259,0.13097,0.04969,0.03804,0.11967,0.05627,0.02798,0.02812,0.0302,0.03229
"71",0.03617,0.05047,0.03501,0.05101,0.03733,0.08332,0.15345,0.13476,0.0467,0.19633,0.05685,0.02798,0.02812,0.0302,0.03229
"72",0.09826,0.04489,0.14648,0.12808,0.11314,0.04534,0.03433,0.0522,0.02908,0.1164,0.0732,0.02798,0.02812,0.0302,0.03229
"73",0.06062,0.05305,0.06722,0.03632,0.14901,0.25299,0.02996,0.1312,0.02841,0.03285,0.03976,0.02798,0.02812,0.0302,0.03229
"74",0.07103,0.03258,0.14806,0.10525,0.06535,0.06459,0.03361,0.10164,0.09752,0.07017,0.09159,0.02798,0.02812,0.0302,0.03229
"75",0.08077,0.03194,0.06391,0.02999,0.18339,0.07808,0.0564,0.03734,0.07189,0.18981,0.05789,0.02798,0.02812,0.0302,0.03229
"76",0.02672,0.08451,0.03385,0.07075,0.04574,0.23514,0.02986,0.03306,0.13009,0.02863,0.16306,0.02798,0.02812,0.0302,0.03229
"77",0.12579,0.13529,0.11657,0.06489,0.06093,0.04864,0.09,0.03751,0.0616,0.0989,0.0413,0.02798,0.02812,0.0302,0.03229
"78",0.09398,0.02621,0.07304,0.17479,0.11213,0.03851,0.11404,0.04089,0.05472,0.0659,0.08721,0.02798,0.02812,0.0302,0.03229
"79",0.06675,0.08189,0.07179,0.11218,0.13428,0.03019,0.15447,0.09626,0.03158,0.04333,0.0587,0.02798,0.02812,0.0302,0.03229
"80",0.03497,0.03479,0.03609,0.09271,0.081,0.06241,0.03314,0.10176,0.18499,0.17504,0.04451,0.02798,0.02812,0.0302,0.03229
"81",0.06437,0.08503,0.1388,0.11669,0.05312,0.0651,0.0464,0.18003,0.03911,0.04882,0.04393,0.02798,0.02812,0.0302,0.03229
"82",0.03991,0.09085,0.09575,0.06089,0.09124,0.03007,0.06187,0.11452,0.09497,0.13543,0.06591,0.02798,0.02812,0.0302,0.03229
"83",0.03445,0.03959,0.03622,0.05916,0.0408,0.16762,0.05715,0.15198,0.0613,0.09276,0.14039,0.02798,0.02812,0.0302,0.03229
"84",0.05226,0.04577,0.10167,0.05552,0.04337,0.11575,0.03724,0.17197,0.08226,0.14629,0.02932,0.02798,0.02812,0.0302,0.03229
"85",0.06689,0.0482,0.04353,0.04712,0.14893,0.06441,0.05327,0.05714,0.06274,0.0441,0.24508,0.02798,0.02812,0.0302,0.03229
"86",0.0429,0.07278,0.03287,0.07388,0.0627,0.05798,0.06368,0.14415,0.04468,0.08758,0.1982,0.02798,0.02812,0.0302,0.03229
"87",0.0618,0.03685,0.03098,0.03249,0.04097,0.03189,0.12299,0.27572,0.10935,0.10363,0.03474,0.02798,0.02812,0.0302,0.03229
"88",0.05911,0.02918,0.13379,0.09825,0.09458,0.05234,0.04199,0.09349,0.1467,0.1,0.03197,0.02798,0.02812,0.0302,0.03229
"89",0.09637,0.07116,0.04797,0.11132,0.12112,0.06743,0.07467,0.11167,0.04678,0.06505,0.06787,0.02798,0.02812,0.0302,0.03229
"90",0.12212,0.04641,0.04852,0.11285,0.08121,0.06253,0.14991,0.03981,0.13498,0.02862,0.05446,0.02798,0.02812,0.0302,0.03229
"91",0.03504,0.13379,0.0777,0.08039,0.03862,0.16202,0.0331,0.06397,0.03597,0.04896,0.17185,0.02798,0.02812,0.0302,0.03229
"92",0.0277,0.1048,0.08952,0.07193,0.03897,0.09144,0.05924,0.09771,0.05027,0.21873,0.0311,0.02798,0.02812,0.0302,0.03229
"93",0.07535,0.04466,0.05378,0.04923,0.03695,0.14148,0.09677,0.07172,0.05906,0.10795,0.14444,0.02798,0.02812,0.0302,0.03229
